Gene stable ID,Gene name,Gene type
ENSAMXG00000042404,rhogb,protein_coding
ENSAMXG00000034111,rhogb,protein_coding
ENSAMXG00000030572,rhoga,protein_coding
ENSAMXG00000033028,,protein_coding
ENSAMXG00000041100,,protein_coding
ENSAMXG00000036246,rhoga,protein_coding
ENSAMXG00000030028,chrna10a,protein_coding
ENSAMXG00000011868,mrps23,protein_coding
ENSAMXG00000011861,NOS2,protein_coding
ENSAMXG00000010210,NOS2,protein_coding
ENSAMXG00000005229,lyrm9,protein_coding
ENSAMXG00000005240,nlk2,protein_coding
ENSAMXG00000043701,,protein_coding
ENSAMXG00000005256,nufip2,protein_coding
ENSAMXG00000025922,,protein_coding
ENSAMXG00000031504,,protein_coding
ENSAMXG00000041764,WSCD1,protein_coding
ENSAMXG00000000032,gucy2f,protein_coding
ENSAMXG00000031437,serpinh1b,protein_coding
ENSAMXG00000000061,gdpd5b,protein_coding
ENSAMXG00000042300,hspa13,protein_coding
ENSAMXG00000036647,CDK5R1,protein_coding
ENSAMXG00000000068,samsn1a,protein_coding
ENSAMXG00000038464,si:ch211-207n23.2,protein_coding
ENSAMXG00000025365,nrip1a,protein_coding
ENSAMXG00000000075,zgc:153372,protein_coding
ENSAMXG00000037547,tsku,protein_coding
ENSAMXG00000000079,si:dkey-52l18.4,protein_coding
ENSAMXG00000000087,rap1gap2a,protein_coding
ENSAMXG00000043891,,protein_coding
ENSAMXG00000000093,xaf1,protein_coding
ENSAMXG00000038705,lhx1a,protein_coding
ENSAMXG00000043616,,protein_coding
ENSAMXG00000038970,,protein_coding
ENSAMXG00000017731,cryba1a,protein_coding
ENSAMXG00000032589,dhrs13a.3,protein_coding
ENSAMXG00000017742,crybb1l3,protein_coding
ENSAMXG00000005680,unc119a,protein_coding
ENSAMXG00000017753,foxn1,protein_coding
ENSAMXG00000006524,slc46a1,protein_coding
ENSAMXG00000006542,sarm1,protein_coding
ENSAMXG00000006550,ankmy2a,protein_coding
ENSAMXG00000032703,sostdc1a,protein_coding
ENSAMXG00000006587,crppa,protein_coding
ENSAMXG00000029485,meox2a,protein_coding
ENSAMXG00000034189,agmo,protein_coding
ENSAMXG00000039261,etv1,protein_coding
ENSAMXG00000006638,arl4aa,protein_coding
ENSAMXG00000027371,si:dkey-30e9.6,protein_coding
ENSAMXG00000029306,,protein_coding
ENSAMXG00000006657,si:dkey-30e9.7,protein_coding
ENSAMXG00000039386,vwde,protein_coding
ENSAMXG00000042486,tmem106ba,protein_coding
ENSAMXG00000006724,lsr,protein_coding
ENSAMXG00000037155,,protein_coding
ENSAMXG00000009856,,protein_coding
ENSAMXG00000042233,,protein_coding
ENSAMXG00000029333,,protein_coding
ENSAMXG00000006743,mag,protein_coding
ENSAMXG00000035564,,protein_coding
ENSAMXG00000013427,acsl5,protein_coding
ENSAMXG00000025273,,protein_coding
ENSAMXG00000007359,alyref,protein_coding
ENSAMXG00000032525,,protein_coding
ENSAMXG00000029467,,protein_coding
ENSAMXG00000018057,esco2,protein_coding
ENSAMXG00000031173,cacng7b,protein_coding
ENSAMXG00000000643,slc5a6b,protein_coding
ENSAMXG00000040337,pycr1b,protein_coding
ENSAMXG00000040018,ccdc25,protein_coding
ENSAMXG00000025750,irgq2,protein_coding
ENSAMXG00000033763,asb7,protein_coding
ENSAMXG00000007366,arhgdia,protein_coding
ENSAMXG00000014202,lins1,protein_coding
ENSAMXG00000020381,mafgb,protein_coding
ENSAMXG00000041101,cenpo,protein_coding
ENSAMXG00000018034,pbk,protein_coding
ENSAMXG00000015956,prkcg,protein_coding
ENSAMXG00000006763,si:dkey-24p1.1,protein_coding
ENSAMXG00000009829,tmprss5,protein_coding
ENSAMXG00000000650,TP53I3,protein_coding
ENSAMXG00000020370,,protein_coding
ENSAMXG00000035891,,protein_coding
ENSAMXG00000007372,cdr2l,protein_coding
ENSAMXG00000037069,,protein_coding
ENSAMXG00000039229,,protein_coding
ENSAMXG00000018025,SLC35D3,protein_coding
ENSAMXG00000013583,gucy2g,protein_coding
ENSAMXG00000035173,cers3a,protein_coding
ENSAMXG00000029212,,protein_coding
ENSAMXG00000033709,dnajc5gb,protein_coding
ENSAMXG00000038326,pex7,protein_coding
ENSAMXG00000015979,grin2db,protein_coding
ENSAMXG00000020247,trappc10,protein_coding
ENSAMXG00000009846,SLC7A1,protein_coding
ENSAMXG00000013611,tectb,protein_coding
ENSAMXG00000030952,SLC30A2,protein_coding
ENSAMXG00000042642,,protein_coding
ENSAMXG00000006720,cd36,protein_coding
ENSAMXG00000029947,,protein_coding
ENSAMXG00000000668,coq8ab,protein_coding
ENSAMXG00000039048,hey2,protein_coding
ENSAMXG00000035835,lims1,protein_coding
ENSAMXG00000013171,si:ch211-129o18.4,protein_coding
ENSAMXG00000032779,,protein_coding
ENSAMXG00000006459,sema3c,protein_coding
ENSAMXG00000004095,,protein_coding
ENSAMXG00000015286,riok1,protein_coding
ENSAMXG00000033128,,protein_coding
ENSAMXG00000039791,pitpnc1b,protein_coding
ENSAMXG00000009839,gbe1b,protein_coding
ENSAMXG00000030795,tardbpl,protein_coding
ENSAMXG00000018001,hddc2,protein_coding
ENSAMXG00000013752,gpam,protein_coding
ENSAMXG00000015314,rreb1b,protein_coding
ENSAMXG00000039599,nectin1a,protein_coding
ENSAMXG00000034133,,protein_coding
ENSAMXG00000030626,,protein_coding
ENSAMXG00000000694,TATDN3,protein_coding
ENSAMXG00000020170,mfn1b,protein_coding
ENSAMXG00000009012,hspa5,protein_coding
ENSAMXG00000040728,cntnap5l,protein_coding
ENSAMXG00000013274,,protein_coding
ENSAMXG00000017992,tpd52l1,protein_coding
ENSAMXG00000030629,,protein_coding
ENSAMXG00000003612,phf13,protein_coding
ENSAMXG00000038047,,protein_coding
ENSAMXG00000036385,sst6,protein_coding
ENSAMXG00000003768,,protein_coding
ENSAMXG00000000110,itgav,protein_coding
ENSAMXG00000029852,,protein_coding
ENSAMXG00000003307,,protein_coding
ENSAMXG00000039012,nkpd1,protein_coding
ENSAMXG00000009309,,protein_coding
ENSAMXG00000034549,,protein_coding
ENSAMXG00000001084,npm2a,protein_coding
ENSAMXG00000035816,ing4,protein_coding
ENSAMXG00000040807,gnaia,protein_coding
ENSAMXG00000029666,GFRA1,protein_coding
ENSAMXG00000036215,rbbp4,protein_coding
ENSAMXG00000003751,,protein_coding
ENSAMXG00000031920,zgc:175088,protein_coding
ENSAMXG00000017006,NCAM2,protein_coding
ENSAMXG00000033608,,protein_coding
ENSAMXG00000036894,,protein_coding
ENSAMXG00000003692,tspearb,protein_coding
ENSAMXG00000026077,,protein_coding
ENSAMXG00000003283,,protein_coding
ENSAMXG00000037429,,protein_coding
ENSAMXG00000031856,,protein_coding
ENSAMXG00000009813,pih1d2,protein_coding
ENSAMXG00000039997,or108-3,protein_coding
ENSAMXG00000009330,,protein_coding
ENSAMXG00000040266,pgd,protein_coding
ENSAMXG00000033412,svbp,protein_coding
ENSAMXG00000030322,dixdc1a,protein_coding
ENSAMXG00000002933,DGKD,protein_coding
ENSAMXG00000041110,,protein_coding
ENSAMXG00000038130,,protein_coding
ENSAMXG00000031644,,protein_coding
ENSAMXG00000003333,,protein_coding
ENSAMXG00000033926,FIS1,protein_coding
ENSAMXG00000035569,,protein_coding
ENSAMXG00000013184,kif1b,protein_coding
ENSAMXG00000029051,got1l1,protein_coding
ENSAMXG00000043075,si:dkeyp-69b9.3,protein_coding
ENSAMXG00000008735,YTHDC2,protein_coding
ENSAMXG00000001797,chrm2b,protein_coding
ENSAMXG00000001098,prlhr2a,protein_coding
ENSAMXG00000032972,,protein_coding
ENSAMXG00000037604,zgc:91999,protein_coding
ENSAMXG00000032545,wnt4,protein_coding
ENSAMXG00000042532,,protein_coding
ENSAMXG00000030301,,protein_coding
ENSAMXG00000015024,cadm2b,protein_coding
ENSAMXG00000001938,myo1ca,protein_coding
ENSAMXG00000006818,ubr7,protein_coding
ENSAMXG00000006392,KDM7A,protein_coding
ENSAMXG00000036228,,protein_coding
ENSAMXG00000030520,fbxl14a,protein_coding
ENSAMXG00000043556,,protein_coding
ENSAMXG00000038750,rnf217,protein_coding
ENSAMXG00000005400,,protein_coding
ENSAMXG00000011000,sync,protein_coding
ENSAMXG00000001812,prr5a,protein_coding
ENSAMXG00000008422,pcdh17,protein_coding
ENSAMXG00000043591,,protein_coding
ENSAMXG00000001107,,protein_coding
ENSAMXG00000004102,,protein_coding
ENSAMXG00000038596,si:dkeyp-55f12.3,protein_coding
ENSAMXG00000026111,,protein_coding
ENSAMXG00000042682,,protein_coding
ENSAMXG00000040132,fuca2,protein_coding
ENSAMXG00000034656,,protein_coding
ENSAMXG00000009354,,protein_coding
ENSAMXG00000006366,ndufb2,protein_coding
ENSAMXG00000032369,,protein_coding
ENSAMXG00000026038,,protein_coding
ENSAMXG00000037706,,protein_coding
ENSAMXG00000029876,nrn1b,protein_coding
ENSAMXG00000001112,adgra2,protein_coding
ENSAMXG00000037138,fam204a,protein_coding
ENSAMXG00000000714,hivep2b,protein_coding
ENSAMXG00000031321,mcf2b,protein_coding
ENSAMXG00000042854,si:ch73-205h11.1,protein_coding
ENSAMXG00000004087,rab11fip2,protein_coding
ENSAMXG00000037814,gnb4b,protein_coding
ENSAMXG00000017518,plxna3,protein_coding
ENSAMXG00000025962,tmem251,protein_coding
ENSAMXG00000032970,nkain2,protein_coding
ENSAMXG00000035020,,protein_coding
ENSAMXG00000041087,,protein_coding
ENSAMXG00000037546,,protein_coding
ENSAMXG00000042127,si:ch211-194e15.5,protein_coding
ENSAMXG00000003627,tra2b,protein_coding
ENSAMXG00000029413,cpn1,protein_coding
ENSAMXG00000038992,emx2,protein_coding
ENSAMXG00000037828,kmt2e,protein_coding
ENSAMXG00000035231,f9b,protein_coding
ENSAMXG00000043429,diaph3,protein_coding
ENSAMXG00000034482,,protein_coding
ENSAMXG00000009781,arcn1b,protein_coding
ENSAMXG00000006699,itpk1a,protein_coding
ENSAMXG00000032512,,protein_coding
ENSAMXG00000001835,rad52,protein_coding
ENSAMXG00000000724,,protein_coding
ENSAMXG00000032800,fgf13b,protein_coding
ENSAMXG00000015064,bach1a,protein_coding
ENSAMXG00000038146,gart,protein_coding
ENSAMXG00000005260,eif3s10,protein_coding
ENSAMXG00000029202,igf2bp2a,protein_coding
ENSAMXG00000009506,iffo1a,protein_coding
ENSAMXG00000034208,,protein_coding
ENSAMXG00000038645,,protein_coding
ENSAMXG00000016036,,protein_coding
ENSAMXG00000000741,txlnbb,protein_coding
ENSAMXG00000014385,dnmbp,protein_coding
ENSAMXG00000009792,cryaba,protein_coding
ENSAMXG00000042977,SHROOM2,protein_coding
ENSAMXG00000037673,,protein_coding
ENSAMXG00000011185,sall3a,protein_coding
ENSAMXG00000000758,oct2,protein_coding
ENSAMXG00000043757,,protein_coding
ENSAMXG00000040219,,protein_coding
ENSAMXG00000041871,ppih,protein_coding
ENSAMXG00000011659,vsx2,protein_coding
ENSAMXG00000042957,ablim2,protein_coding
ENSAMXG00000038956,,protein_coding
ENSAMXG00000014608,HABP2,protein_coding
ENSAMXG00000032715,,protein_coding
ENSAMXG00000004144,,protein_coding
ENSAMXG00000025757,,protein_coding
ENSAMXG00000008582,,protein_coding
ENSAMXG00000010993,yars1,protein_coding
ENSAMXG00000030496,dlg4b,protein_coding
ENSAMXG00000029785,tmem41aa,protein_coding
ENSAMXG00000036837,,protein_coding
ENSAMXG00000000774,,protein_coding
ENSAMXG00000041072,si:ch73-52f15.5,protein_coding
ENSAMXG00000036613,,protein_coding
ENSAMXG00000043035,,protein_coding
ENSAMXG00000042675,chga,protein_coding
ENSAMXG00000031500,,protein_coding
ENSAMXG00000025758,,protein_coding
ENSAMXG00000030457,,protein_coding
ENSAMXG00000017974,CLVS2,protein_coding
ENSAMXG00000006615,clcn4,protein_coding
ENSAMXG00000040547,dusp23b,protein_coding
ENSAMXG00000037605,,protein_coding
ENSAMXG00000040959,vamp1,protein_coding
ENSAMXG00000036687,,protein_coding
ENSAMXG00000032096,plekhg6,protein_coding
ENSAMXG00000039179,,protein_coding
ENSAMXG00000030725,,protein_coding
ENSAMXG00000008387,htatsf1,protein_coding
ENSAMXG00000006569,si:dkey-177p2.18,protein_coding
ENSAMXG00000009762,gkup,protein_coding
ENSAMXG00000032726,,protein_coding
ENSAMXG00000030473,,protein_coding
ENSAMXG00000001851,,protein_coding
ENSAMXG00000026110,,protein_coding
ENSAMXG00000035679,,protein_coding
ENSAMXG00000040201,,pseudogene
ENSAMXG00000007300,zdhhc21,protein_coding
ENSAMXG00000031411,,protein_coding
ENSAMXG00000003551,ehhadh,protein_coding
ENSAMXG00000008419,adgrg4b,protein_coding
ENSAMXG00000018926,,protein_coding
ENSAMXG00000015091,,protein_coding
ENSAMXG00000000792,,protein_coding
ENSAMXG00000043794,,protein_coding
ENSAMXG00000030967,si:ch211-120k19.1,protein_coding
ENSAMXG00000032181,,protein_coding
ENSAMXG00000011184,lrrc4bb,protein_coding
ENSAMXG00000003014,ilkap,protein_coding
ENSAMXG00000014500,si:dkeyp-100a1.6,protein_coding
ENSAMXG00000007311,,protein_coding
ENSAMXG00000042596,si:ch211-232m10.6,protein_coding
ENSAMXG00000038976,smpdl3a,protein_coding
ENSAMXG00000000798,ptk2ba,protein_coding
ENSAMXG00000038241,lin52,protein_coding
ENSAMXG00000029868,n6amt1,protein_coding
ENSAMXG00000031943,,protein_coding
ENSAMXG00000037648,,protein_coding
ENSAMXG00000032251,fabp7b,protein_coding
ENSAMXG00000042954,dbpb,protein_coding
ENSAMXG00000037469,naa38,protein_coding
ENSAMXG00000035121,,protein_coding
ENSAMXG00000010974,mfsd2ab,protein_coding
ENSAMXG00000018895,myh14,protein_coding
ENSAMXG00000030623,pkib,protein_coding
ENSAMXG00000012421,,protein_coding
ENSAMXG00000037796,,protein_coding
ENSAMXG00000041212,,protein_coding
ENSAMXG00000014510,exosc10,protein_coding
ENSAMXG00000008290,xxylt1,protein_coding
ENSAMXG00000043169,slc30a10,protein_coding
ENSAMXG00000040148,,protein_coding
ENSAMXG00000033065,,protein_coding
ENSAMXG00000035674,rcvrn3,protein_coding
ENSAMXG00000039252,serinc1,protein_coding
ENSAMXG00000004165,bud13,protein_coding
ENSAMXG00000019985,ephb4b,protein_coding
ENSAMXG00000018016,NFATC1,protein_coding
ENSAMXG00000014720,nrap,protein_coding
ENSAMXG00000038650,,protein_coding
ENSAMXG00000037028,,protein_coding
ENSAMXG00000032774,,protein_coding
ENSAMXG00000035880,,protein_coding
ENSAMXG00000037125,c1qb,protein_coding
ENSAMXG00000016064,si:dkeyp-69b9.6,protein_coding
ENSAMXG00000013206,ube4b,protein_coding
ENSAMXG00000040436,,protein_coding
ENSAMXG00000004213,c1qc,protein_coding
ENSAMXG00000031350,kmt2e,protein_coding
ENSAMXG00000024911,tmem238a,protein_coding
ENSAMXG00000039249,ttc19,protein_coding
ENSAMXG00000030146,,protein_coding
ENSAMXG00000041621,c1qa,protein_coding
ENSAMXG00000036210,,protein_coding
ENSAMXG00000034521,,protein_coding
ENSAMXG00000006409,sel1l,protein_coding
ENSAMXG00000038213,ccdc106b,protein_coding
ENSAMXG00000032193,fhl1b,protein_coding
ENSAMXG00000011669,pomt2,protein_coding
ENSAMXG00000034437,ldlrap1b,protein_coding
ENSAMXG00000015122,mipep,protein_coding
ENSAMXG00000006633,CLASP1,protein_coding
ENSAMXG00000030171,epd,protein_coding
ENSAMXG00000029829,,protein_coding
ENSAMXG00000015901,pcdh2aa15,protein_coding
ENSAMXG00000009733,ubash3bb,protein_coding
ENSAMXG00000004230,fbxo40.1,protein_coding
ENSAMXG00000042797,faim2a,protein_coding
ENSAMXG00000007321,slx1b,protein_coding
ENSAMXG00000039454,u2af2b,protein_coding
ENSAMXG00000042103,,protein_coding
ENSAMXG00000032533,lhfpl3,protein_coding
ENSAMXG00000025901,fam43a,protein_coding
ENSAMXG00000040504,,protein_coding
ENSAMXG00000001897,panx1b,protein_coding
ENSAMXG00000041198,,protein_coding
ENSAMXG00000014520,mtor,protein_coding
ENSAMXG00000002913,USP34,protein_coding
ENSAMXG00000006322,ahsa1a,protein_coding
ENSAMXG00000031974,hsf2,protein_coding
ENSAMXG00000000301,abcf2a,protein_coding
ENSAMXG00000016077,shisa7a,protein_coding
ENSAMXG00000043570,,protein_coding
ENSAMXG00000031912,fbxo40.2,protein_coding
ENSAMXG00000036536,sat2b,protein_coding
ENSAMXG00000003021,zgc:162872,protein_coding
ENSAMXG00000036942,,protein_coding
ENSAMXG00000039500,,protein_coding
ENSAMXG00000035025,cdc42,protein_coding
ENSAMXG00000031419,,protein_coding
ENSAMXG00000032587,tnfrsf19,protein_coding
ENSAMXG00000029445,si:ch73-92i20.1,protein_coding
ENSAMXG00000008466,slc9a6b,protein_coding
ENSAMXG00000005837,trim45,protein_coding
ENSAMXG00000037840,mybpc2b,protein_coding
ENSAMXG00000040082,,protein_coding
ENSAMXG00000037520,,protein_coding
ENSAMXG00000015179,sacs,protein_coding
ENSAMXG00000035997,myclb,protein_coding
ENSAMXG00000016088,ube2s,protein_coding
ENSAMXG00000004956,atg5,protein_coding
ENSAMXG00000035077,pcdh2aa15,protein_coding
ENSAMXG00000008271,lsg1,protein_coding
ENSAMXG00000034262,,protein_coding
ENSAMXG00000039323,josd2,protein_coding
ENSAMXG00000003520,C3orf70,protein_coding
ENSAMXG00000010959,trit1,protein_coding
ENSAMXG00000026701,MIR100,miRNA
ENSAMXG00000035198,,protein_coding
ENSAMXG00000031208,si:dkey-177p2.6,protein_coding
ENSAMXG00000015190,ADAMTS5,protein_coding
ENSAMXG00000039124,ap5b1,protein_coding
ENSAMXG00000003371,nup35,protein_coding
ENSAMXG00000033896,,protein_coding
ENSAMXG00000004495,arhgap42a,protein_coding
ENSAMXG00000041848,arhgef9a,protein_coding
ENSAMXG00000034912,cdca4,protein_coding
ENSAMXG00000004952,prdm1a,protein_coding
ENSAMXG00000003571,C1orf50,protein_coding
ENSAMXG00000016107,ttyh1,protein_coding
ENSAMXG00000009447,cnot3b,protein_coding
ENSAMXG00000008478,kif20a,protein_coding
ENSAMXG00000035965,,protein_coding
ENSAMXG00000000303,smarcd3a,protein_coding
ENSAMXG00000001867,erc1a,protein_coding
ENSAMXG00000030586,,protein_coding
ENSAMXG00000031286,sgcg,protein_coding
ENSAMXG00000041384,pcdh2aa15,protein_coding
ENSAMXG00000031597,,protein_coding
ENSAMXG00000018195,sorl1,protein_coding
ENSAMXG00000036713,,protein_coding
ENSAMXG00000031241,,protein_coding
ENSAMXG00000040014,serpinb1l2,protein_coding
ENSAMXG00000033954,,protein_coding
ENSAMXG00000043180,,protein_coding
ENSAMXG00000038392,,protein_coding
ENSAMXG00000013244,rbp7a,protein_coding
ENSAMXG00000000805,chrna2a,protein_coding
ENSAMXG00000035916,,protein_coding
ENSAMXG00000041663,,protein_coding
ENSAMXG00000039038,,protein_coding
ENSAMXG00000004979,nat8l,protein_coding
ENSAMXG00000011680,,protein_coding
ENSAMXG00000007470,cacna2d2a,protein_coding
ENSAMXG00000020031,panx2,protein_coding
ENSAMXG00000014916,lcmt2,protein_coding
ENSAMXG00000041177,cishb,protein_coding
ENSAMXG00000025113,lrrtm1,protein_coding
ENSAMXG00000030042,mylk4b,protein_coding
ENSAMXG00000037730,,protein_coding
ENSAMXG00000012036,borcs7,protein_coding
